"","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","cause_name","metric_id","metric_name","year","val","upper","lower"
"1",1,"Deaths",6,"China",1,"Male",1,"<5 years",496,"Intracerebral hemorrhage",1,"Number",1990,1776.24595178791,2952.88726111343,824.886841998675
"2",1,"Deaths",6,"China",2,"Female",1,"<5 years",496,"Intracerebral hemorrhage",1,"Number",1990,1015.88286472765,1794.72570110119,475.58901591318
"3",1,"Deaths",6,"China",3,"Both",1,"<5 years",496,"Intracerebral hemorrhage",1,"Number",1990,2792.12881651555,4326.30419220053,1595.51245010809
"4",1,"Deaths",6,"China",1,"Male",1,"<5 years",496,"Intracerebral hemorrhage",3,"Rate",1990,3.04241756298603,5.05781085985661,1.41289567080883
"5",1,"Deaths",6,"China",2,"Female",1,"<5 years",496,"Intracerebral hemorrhage",3,"Rate",1990,1.93644878049978,3.42105819075976,0.906555078208816
"6",1,"Deaths",6,"China",3,"Both",1,"<5 years",496,"Intracerebral hemorrhage",3,"Rate",1990,2.51897513777944,3.90306229217036,1.43942362904855
"7",1,"Deaths",6,"China",1,"Male",6,"5-9 years",496,"Intracerebral hemorrhage",1,"Number",1990,445.569228294573,822.418047052321,198.405740658824
"8",1,"Deaths",6,"China",2,"Female",6,"5-9 years",496,"Intracerebral hemorrhage",1,"Number",1990,371.976040552914,704.20382446639,154.85048345779
"9",1,"Deaths",6,"China",3,"Both",6,"5-9 years",496,"Intracerebral hemorrhage",1,"Number",1990,817.545268847487,1346.29711215453,422.548337855222
"10",1,"Deaths",6,"China",1,"Male",6,"5-9 years",496,"Intracerebral hemorrhage",3,"Rate",1990,0.819328761765694,1.51229195679478,0.364835629344064
"11",1,"Deaths",6,"China",2,"Female",6,"5-9 years",496,"Intracerebral hemorrhage",3,"Rate",1990,0.741360203882707,1.40350085480067,0.308621990322176
"12",1,"Deaths",6,"China",3,"Both",6,"5-9 years",496,"Intracerebral hemorrhage",3,"Rate",1990,0.781913227592668,1.28761985467476,0.404131914471306
"13",1,"Deaths",6,"China",1,"Male",7,"10-14 years",496,"Intracerebral hemorrhage",1,"Number",1990,363.906739111534,625.868475447467,154.561499801517
"14",1,"Deaths",6,"China",2,"Female",7,"10-14 years",496,"Intracerebral hemorrhage",1,"Number",1990,341.499001142361,636.591174111837,135.189156728015
"15",1,"Deaths",6,"China",3,"Both",7,"10-14 years",496,"Intracerebral hemorrhage",1,"Number",1990,705.405740253895,1092.38582091242,402.247209719165
"16",1,"Deaths",6,"China",1,"Male",7,"10-14 years",496,"Intracerebral hemorrhage",3,"Rate",1990,0.687395570546344,1.18222382695508,0.291956369370779
"17",1,"Deaths",6,"China",2,"Female",7,"10-14 years",496,"Intracerebral hemorrhage",3,"Rate",1990,0.688294392615172,1.28305539419961,0.272474994676416
"18",1,"Deaths",6,"China",3,"Both",7,"10-14 years",496,"Intracerebral hemorrhage",3,"Rate",1990,0.687830412379777,1.06516880541058,0.392225138457427
"19",1,"Deaths",6,"China",1,"Male",8,"15-19 years",496,"Intracerebral hemorrhage",1,"Number",1990,1900.90154037492,3299.09877166999,951.565960635692
"20",1,"Deaths",6,"China",2,"Female",8,"15-19 years",496,"Intracerebral hemorrhage",1,"Number",1990,1440.78934569783,2727.4104785003,637.781619395387
"21",1,"Deaths",6,"China",3,"Both",8,"15-19 years",496,"Intracerebral hemorrhage",1,"Number",1990,3341.69088607275,5101.15494745226,1973.98943443566
"22",1,"Deaths",6,"China",1,"Male",8,"15-19 years",496,"Intracerebral hemorrhage",3,"Rate",1990,2.91526004085927,5.05956285247709,1.45934029846489
"23",1,"Deaths",6,"China",2,"Female",8,"15-19 years",496,"Intracerebral hemorrhage",3,"Rate",1990,2.33151531328356,4.41355241501567,1.03207149372063
"24",1,"Deaths",6,"China",3,"Both",8,"15-19 years",496,"Intracerebral hemorrhage",3,"Rate",1990,2.63122206131382,4.01661071999713,1.55430431053174
"25",1,"Deaths",6,"China",1,"Male",9,"20-24 years",496,"Intracerebral hemorrhage",1,"Number",1990,3065.92555687009,5157.4814341208,1685.74104827755
"26",1,"Deaths",6,"China",2,"Female",9,"20-24 years",496,"Intracerebral hemorrhage",1,"Number",1990,2324.93293368132,4013.52872075192,1058.90870814729
