"age_name","std_population"
"<5",9.58142249298011
"5-9",9.40512473664256
"10-14",9.16715373725762
"15-19",8.77863681726318
"20-24",8.36828659437518
"25-29",7.99497973545109
"30-34",7.55371080621571
"35-39",6.98233831398948
"40-44",6.2954951391538
"45-49",5.57560888337611
"50-54",4.83794375690213
"55-59",4.11274975045815
"60-64",3.45780195714571
"65-69",2.79354926110638
"70-74",2.09286229156238
"75-79",1.44786215891889
"80-84",0.898869346283236
"85-89",0.448822663741306
"90-94",0.161111542040076
"95+",0.0456700151369087
