measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1990,58277244.86714917,73690838.49706262,46491945.24227717
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1991,58491553.938603714,73862452.43735777,46704155.49737911
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1992,58683789.25273269,73994050.40363623,46889761.55436836
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1993,58935704.10342909,74194087.89900927,47110449.321972325
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1994,59246483.0502255,74465543.54021743,47364171.630400166
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1995,59629575.41941565,74828919.01265526,47704772.37204752
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1996,59990837.01310629,75173322.9808494,48026058.42296352
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1997,60256784.16541399,75398931.80908783,48285869.7905318
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1998,60529986.283683546,75647569.41528097,48556413.455816366
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1999,60914357.10768607,76059028.77003722,48888648.252857134
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2000,61501008.23682924,76748831.25086725,49359862.01693724
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2001,62245362.54388002,77633997.34257473,49962248.616365045
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2002,62989356.29262839,78522680.76933198,50560227.313177705
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2003,63691508.583290204,79370175.85659778,51131899.47015727
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2004,64309177.24438839,80125183.99523973,51629577.92214495
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2005,64798329.93762229,80749319.55369133,52018319.68757561
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2006,65148659.59670796,81273596.93753201,52260673.10056108
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2007,65364543.01200914,81648230.93518758,52399587.33682786
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2008,65458850.15775376,81866337.08545093,52446189.45791756
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2009,65508527.59934491,82020622.05768564,52501772.8064327
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2010,65483760.7170175,82062901.20141645,52506806.64786259
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2011,65395625.67907273,81936982.77299318,52443537.92359179
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2012,65271151.37438989,81753627.67201564,52332522.43470375
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2013,65154870.19753037,81572960.88322602,52212080.48580629
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2014,65060249.85607657,81410987.35289563,52099636.45335608
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2015,65004563.00950076,81288774.31370418,52017368.668756425
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2016,65074061.34565047,81446700.29909673,52097537.621246085
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2017,65295858.83970495,81810413.93311986,52294769.91386232
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2018,65625297.85237399,82316081.81006709,52567769.33444236
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2019,66017774.28669463,82900727.44398522,52881480.13636935
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2020,66452972.38854278,83532620.87490863,53204873.32941422
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2021,67017077.32199861,84266851.90352198,53592462.093834765
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2022,67521690.34238292,84895285.77415085,53886699.70934138
5,Prevalence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,2023,67148248.43166572,84401415.8917129,53582709.76757808
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1990,11945309.985902004,15894076.520894514,8956615.748496938
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1991,12120399.671557348,16108200.319909422,9102255.88183215
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1992,12310777.310449896,16352091.676110355,9256749.16005615
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1993,12513135.258096904,16607216.741231186,9418685.07817813
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1994,12712823.61088765,16844418.142059747,9576753.757019997
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1995,12900315.97586571,17066763.292440496,9723931.889476288
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1996,13090295.256375162,17315832.600688297,9874902.964618864
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1997,13276811.16400017,17559343.927485403,10018907.153073533
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1998,13437417.176939838,17765601.858014543,10142518.60660512
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,1999,13559422.853743186,17917825.641343005,10238604.827652013
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2000,13634651.96329473,18007535.14950469,10296368.792657414
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2001,13648152.234839683,18025593.43925036,10323130.076726826
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2002,13613272.064015482,17975215.270719774,10311866.57915145
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2003,13547699.752635157,17881041.380672336,10275283.103840498
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2004,13463911.215870269,17761903.71086699,10223487.472920742
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2005,13365903.904478809,17628375.025370315,10158584.42225003
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2006,13281804.549267655,17512967.21435547,10093905.432164485
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2007,13215228.008416466,17422463.75596739,10042213.237827493
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2008,13160898.100649506,17348752.08273151,10000180.956382772
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2009,13126747.377097188,17301486.22028185,9974215.884234527
5,Prevalence,1,Global,3,Both,7,10-14 years,630,Low back pain,1,Number,2010,13123710.945363566,17295246.736180075,9972868.488268085
